"id","title","year","genres","rating","votes","isaction","isadventure","iscomedy","iscrime","isdocumentary","isdrama","ishorror","ismystery","isromance","isthriller"
"tt7007696","Share","2019","[Drama, Mystery]","5.6","1568","false","false","false","false","false","true","false","true","false","false"
"tt7108976","Detective K: Secret of the Living Dead","2018","[Comedy, Crime]","6.1","354","false","false","true","true","false","false","false","false","false","false"
"tt8234892","Knives and Skin","2019","[Drama, Mystery, Thriller]","5.0","682","false","false","false","false","false","true","false","true","false","true"
"tt5446858","Zero Days","2016","[Documentary]","7.8","8709","false","false","false","false","true","false","false","false","false","false"
"tt5913798","Wounds","2019","[Drama, Horror, Mystery]","4.0","15064","false","false","false","false","false","true","true","true","false","false"
"tt0376127","Anniyan","2005","[Action, Drama, Thriller]","8.2","13943","true","false","false","false","false","true","false","false","false","true"
"tt0120523","Wishful Thinking","1997","[Comedy, Romance]","5.0","1245","false","false","true","false","false","false","false","false","true","false"
"tt6330246","School of Life","2017","[Comedy, Drama, Family]","6.9","1169","false","false","true","false","false","true","false","false","false","false"
"tt6673612","Dolittle","2020","[Adventure, Comedy, Family]","5.6","41199","false","true","true","false","false","false","false","false","false","false"
"tt6954136","Intuitions","2019","[Romance, Thriller]","3.6","206","false","false","false","false","false","false","false","false","true","true"
"tt0800325","The Dirt","2019","[Biography, Comedy, Drama]","7.0","38070","false","false","true","false","false","true","false","false","false","false"
"tt0837563","Pet Sematary","2019","[Horror, Mystery, Thriller]","5.7","78538","false","false","false","false","false","false","true","true","false","true"
"tt2657152","Infestation: Day One","2013","[Horror, Sci-Fi, Thriller]","5.5","118","false","false","false","false","false","false","true","false","false","true"
"tt2822672","Rock Dog","2016","[Adventure, Animation, Comedy]","5.9","4502","false","true","true","false","false","false","false","false","false","false"
"tt4807408","The Best of Enemies","2019","[Biography, Drama, History]","7.2","8718","false","false","false","false","false","true","false","false","false","false"
"tt4913966","The Curse of la Llorona","2019","[Horror, Mystery, Thriller]","5.3","36057","false","false","false","false","false","false","true","true","false","true"
"tt4935462","Amazing Grace","2018","[Documentary, Music]","7.5","3417","false","false","false","false","true","false","false","false","false","false"
"tt5078354","Cezanne et Moi","2016","[Biography, Drama]","6.0","1059","false","false","false","false","false","true","false","false","false","false"
"tt1954320","Carl[a]","2011","[Drama]","6.9","31","false","false","false","false","false","true","false","false","false","false"
"tt2273648","Adrenochrome","2017","[Action, Fantasy, Horror]","4.7","399","true","false","false","false","false","false","true","false","false","false"
"tt2275629","Cliffs of Freedom","2019","[Drama]","6.1","341","false","false","false","false","false","true","false","false","false","false"
"tt2292196","Refuge","2013","[Thriller]","5.0","480","false","false","false","false","false","false","false","false","false","true"
"tt2298274","New World OrdeRx","2013","[Drama, Sci-Fi]","2.3","239","false","false","false","false","false","true","false","false","false","false"
"tt0103824","Black to the Promised Land","1992","[Documentary]","7.0","20","false","false","false","false","true","false","false","false","false","false"
"tt0860461","A Melody Looking","2006","[Musical]","5.4","28","false","false","false","false","false","false","false","false","false","false"
"tt7390646","Black and Blue","2019","[Action, Crime, Thriller]","6.4","14733","true","false","false","true","false","false","false","false","false","true"
"tt1399103","Transformers: Dark of the Moon","2011","[Action, Adventure, Sci-Fi]","6.2","381358","true","true","false","false","false","false","false","false","false","false"
"tt1648062","Cowboys Vs. Vampires","2010","[Action, Comedy, Drama]","2.5","342","true","false","true","false","false","true","false","false","false","false"
"tt8193790","Deerskin","2019","[Comedy, Horror]","6.7","5151","false","false","true","false","false","false","true","false","false","false"
"tt8650976","Guest Artist","2019","[Drama]","5.0","183","false","false","false","false","false","true","false","false","false","false"
"tt5390246","Heartbeat","2017","[Action, Crime, Drama]","4.1","455","true","false","false","true","false","true","false","false","false","false"
"tt1042916","Totally Spies! The Movie","2009","[Action, Adventure, Animation]","6.4","430","true","true","false","false","false","false","false","false","false","false"
"tt3717252","Underworld: Blood Wars","2016","[Action, Adventure, Fantasy]","5.8","68665","true","true","false","false","false","false","false","false","false","false"
"tt4229236","Cobain: Montage of Heck","2015","[Animation, Biography, Documentary]","7.5","27671","false","false","false","false","true","false","false","false","false","false"
"tt0116306","Sweet Evil","1996","[Thriller]","5.6","271","false","false","false","false","false","false","false","false","false","true"
"tt0174503","Bikini Med School","1994","[Comedy]","1.6","113","false","false","true","false","false","false","false","false","false","false"
"tt6294226","Stray","2019","[Action, Crime, Fantasy]","4.8","668","true","false","false","true","false","false","false","false","false","false"
"tt6387506","The Violin Player","2018","[Drama, Music, Romance]","6.1","276","false","false","false","false","false","true","false","false","true","false"
"tt4972582","Split","2016","[Horror, Thriller]","7.3","411982","false","false","false","false","false","false","true","false","false","true"
